泰安	台安
临翔	临湘
庆元	清原
庆元	清远
庆元	清苑
庆元	青原
蓟  	吉  
宜城	峄城
宜城	驿城
宜城	翼城
庆城	清城
榆林	玉林
历城	黎城
历城	荔城
历城	鲤城
兰山	蓝山
兰山	岚山
淮阴	槐荫
铜川	通川
岳西	越西
吴江	武江
原阳	元阳
镇沅	镇远
镇沅	镇原
连江	廉江
榆中	渝中
交城	蕉城
陵川	灵川
澧县	理县
澧县	礼县
洛江	罗江
长武	彰武
漳州	长洲
塔河	漯河
佛坪	富平
佛坪	阜平
富平	阜平
陇南	龙南
威  	蔚  
威  	魏  
房山	方山
合山	鹤山
合山	赫山
资阳	紫阳
婺源	五原
睢宁	绥宁
睢宁	遂宁
临沂	临猗
临沂	临邑
同江	通江
凉山	梁山
陆丰	禄丰
息烽	西峰
息烽	西丰
高平	高坪
白城	拜城
青羊	庆阳
青羊	青阳
商城	上城
潜山	千山
苏州	宿州
苏州	肃州
信义	新沂
信义	信宜
巫山	武山
万载	湾仔
旌阳	泾阳
泰和	太和
固原	沽源
士林	石林
蔚  	魏  
镇坪	镇平
理县	礼县
兰西	兰溪
吴川	务川
吴川	武川
隆安	龙安
抚远	富源
宜阳	弋阳
宜阳	益阳
昌平	常平
彬县	宾县
中山	钟山
柳河	六合
义乌	伊吾
峄城	驿城
峄城	翼城
惠州	徽州
靖安	静安
惠民	回民
禄劝	鹿泉
昭阳	朝阳
义县	黟县
容城	榕城
容城	荣成
武昌	五常
鹤山	赫山
渭滨	卫滨
天柱	天祝
向阳	襄阳
景宁	静宁
玉州	禹州
西和	细河
黔江	潜江
龙川	陇川
榆树	玉树
巍山	微山
宝山	保山
通城	桐城
大理	大荔
绥阳	睢阳
南港	南岗
泾源	靖远
镇江	浈江
滁州	楚州
屏南	平南
简阳	建阳
宁津	宁晋
清原	清远
清原	清苑
清原	青原
渭城	潍城
无为	武威
徽县	辉县
相城	乡城
相城	项城
相城	襄城
相城	芗城
临猗	临邑
溧水	丽水
常宁	昌宁
铅山	盐山
铅山	砚山
铅山	雁山
庐山	鲁山
庐山	芦山
鄞州	银州
荣县	容县
锦州	晋州
锦州	金州
安溪	安西
靖州	荆州
迁西	黔西
南靖	南京
集安	吉安
迎江	盈江
平鲁	平陆
禹城	雨城
禹城	虞城
清浦	青浦
铜仁	同仁
扶余	富裕
溪湖	西湖
游仙	攸县
平山	屏山
梅县	眉县
祁东	启东
含山	邯山
华县	滑县
镇安	振安
广陵	广灵
云城	郓城
云城	运城
延边	盐边
相山	象山
乡城	项城
乡城	襄城
乡城	芗城
无锡	巫溪
富顺	抚顺
九江	鸠江
阳新	阳信
德庆	德清
新河	新和
绩溪	鸡西
金安	晋安
云溪	郧西
东风	东丰
鲁山	芦山
名山	明山
洛隆	洛龙
云和	运河
枝江	芷江
金阊	金昌
吴中	吴忠
郓城	运城
谷城	故城
谷城	古城
云县	郧县
乾安	迁安
西峰	西丰
泸溪	芦溪
泸溪	潞西
泸溪	泸西
温县	文县
桃园	桃源
清远	清苑
清远	青原
海晏	海盐
绥宁	遂宁
大通	大同
新疆	新绛
玉山	雨山
阜阳	富阳
金平	锦屏
蒲城	浦城
马山	麻山
曲周	衢州
黎城	荔城
黎城	鲤城
丰城	凤城
阜城	涪城
新丰	信丰
防城	方城
宜川	伊川
台州	泰州
巴州	霸州
南长	南漳
盐山	砚山
盐山	雁山
西峡	西夏
务川	武川
芦溪	潞西
芦溪	泸西
彝良	宜良
丰县	奉贤
丰县	凤县
凭祥	平乡
凭祥	萍乡
泰山	台山
抚宁	富宁
抚宁	阜宁
赣州	甘州
镇远	镇原
富宁	阜宁
威远	渭源
通山	铜山
抚州	福州
榕城	荣成
林州	林周
武邑	武义
临西	林西
原州	袁州
碑林	北林
晋州	金州
项城	襄城
项城	芗城
大关	大观
宿州	肃州
平远	平原
砚山	雁山
龙岗	龙港
淮安	怀安
弋阳	益阳
集宁	济宁
招远	肇源
鄢陵	炎陵
婺城	武城
濉溪	遂溪
宜春	伊春
浮山	福山
故城	古城
安源	安远
信州	新洲
信州	忻州
永济	永吉
宣武	玄武
长乐	昌乐
新城	忻城
舞钢	武冈
曲江	衢江
盐城	郾城
西贡	西工
新洲	忻州
雨城	虞城
竹山	珠山
淇县	杞县
会东	惠东
平乡	萍乡
荔城	鲤城
新沂	信宜
开原	开远
红山	洪山
苍山	仓山
衡山	横山
衡山	恒山
晴隆	青龙
黎川	利川
习水	浠水
奉贤	凤县
江安	江岸
佳县	郏县
丰台	凤台
锡山	西山
陕西	山西
新抚	忻府
龙华	隆化
涵江	邗江
南安	南岸
元江	沅江
蓝山	岚山
横山	恒山
冀州	吉州
香洲	象州
坡头	泊头
新华	新化
驿城	翼城
盐津	延津
潞西	泸西
贵阳	桂阳
庆阳	青阳
潞城	鹿城
清苑	青原
华龙	化隆
晋江	锦江
襄城	芗城
泉州	全州
三原	三元
黄埔	黄浦
于田	玉田
维扬	未央
浔阳	旬阳
邕宁	永宁
英山	营山
蒲江	浦江
