六十三除二	二十乘十四
你不感觉小艾同学比你聪明吗	同学不感觉小艾你比同学聪明吗
十四乘十四等多少	三乘三等多少
八百除五	八百除八十
隔离和防晒用一个行吗	防晒和隔离用一个行吗
四十五乘三	四十五乘二十
二十四乘二十四	四乘二十四
五十五乘五十五	五十五乘二
三十七乘六	五加五等几啊
一点二五除五	一点二五除八
小孩偶尔咳嗽	小孩老是咳嗽
三点五乘一点五	一百五十乘一点五
深圳哪个区最繁华	深圳哪个区最偏僻
一百九十乘五	八减六等几
四点三乘三点四乘四点一四	三点一四乘六十四埒多少
把三又七除八化成假分数	把七又七除八化成假分数
河南师范大学领导名单	河北师范大学领导名单
一百二十四乘六十五	一百二十四乘十二
十八和三十的最大公因数是最小公倍数是	三十和十八的最大公因数是最小公倍数是
十五乘多少等十	十五乘多少等五
十五乘零点六	零点六乘零点六
一百三十八除十八	四点二除零点六
济南至潍坊火车时刻表	潍坊至济南火车时刻表
牙齿老是出血	牙齿偶尔出血
一百八十乘三十	三十乘一百八十
南京禄口机场到扬中	扬中到南京禄口机场
邳州到盐城的火车时刻表	盐城到邳州的火车时刻表
二十三除二十四	二十三除二十五
简述幼儿园家长工作的方法和途径	简述幼儿园家长工作的途径和方法
三乘十三	十三乘三
浙江到青海	青海到浙江
七十乘四	五十乘七十
五百一十除七列竖式计算	五百一十除三竖式计算
便宜的用英语怎么	昂贵的用英语怎么
一千乘一千等几	一千除百除一千等几
三百五十除七十	十二除四分之三
脚上湿疹和脚气的区别	脚上脚气和湿疹的区别
张掖到扁都口多少公里	扁都口到张掖多少公里
两点三乘九	十六乘九
六乘四十五	六乘三十
嘴唇太厚可以整吗	嘴唇太薄可以整吗
跖疣和鸡眼的区别	鸡眼和跖疣的区别
中国最矮的山	中国最高的山
黄体酮和地屈孕酮片的区别	地屈孕酮片和黄体酮的区别
嘴巴被蚊子咬肿怎么办	蚊子把嘴巴咬肿了怎么办
经常只睡五个小时会怎样	偶尔只睡五个小时会怎样
一百二十五乘二十七的简便运算	一百二十五乘十二的简便运算
两万乘三	两万乘一万
形容轻微的词语	形容惨重的词语
二点五乘二点五乘三点一四	二点五乘二点五乘三点五
七乘十五等多少	零点八除零点五
二百八十除十二等多少	二百八十除七等多少
三十乘十三	十三乘十三
五除二十四	二十四除五
二百九十乘四	三十六加九
手脚经常发抖是什么病	手脚偶尔发抖是什么病
二百五十乘三十	十除六十
五十点九六除六点五	十六点五除五
十二加二等几	十二加十二等几
经常的反义词和经常的近义词	经常的近义词和经常的反义词
九百一十除十四	十四除七
一百零八乘二十五	四十七除四
小兔关掉手机电筒	小兔打开手机电筒
经常便血是什么情况	偶尔便血是什么情况
一百二十除四	六点八乘四
怎样保存手机数据	怎样删除手机数据
四十二乘三等多少	三点一四乘三十
三点六除零点零九	五乘一点五
五十六除七	十二点五六乘四
饭后胃疼是怎么回事	饭前胃疼是怎么回事
三十一除一百一十九	三十一除三
十五乘六等	十五乘十五等
血压一百四十六除七十二正常吗	血压一百三十六除七十二正常吗
手和脚发麻是什么原因	脚和手发麻是什么原因
二十四除十五	十五除二十四
一百三十乘十等	十五乘十等
怎么追一个比自己小的男生	怎么追一个比自己大的男生
