北大哲学系比清华好是吗	清华哲学系比北大的差些是吗
金鸡湖的面积比玄武湖大吗	玄武湖的面积比金鸡湖小吗
大五岁的姐姐比弟弟矮正常吗	小五岁的弟弟比姐姐还高正常吗
美团比饿了么便宜吗	饿了么比美团贵吗
哥哥一定比弟弟高吗	弟弟一定比哥哥矮吗
吃饭多的人一定比吃饭少的人胖吗	吃饭少的人一定比吃饭多的人瘦些吗
内蒙古的大小是不是比新疆大	新疆的大小是不是比内蒙古小
男生比女生要勇敢吗	女的比男的要胆小吗
江苏的排名比浙江高吗	浙江的排名比江苏低吗
鄱阳湖的蓄水量比洞庭湖多吗	洞庭湖蓄水总量比鄱阳湖要少吗
爷爷一定比奶奶身体好吗	奶奶一定比爷爷身体差吗
南京大学的排名比浙大高吗	浙大的排名比南京大学低吗
为什么男生的头比女生的大	为什么女人的头比男的小
苏州的面积比南京大吗	南京的面积比苏州小吗
为什么男生比女生有趣	为什么女生比男生无聊
拜登比特朗普大多少岁	特朗普比拜登小多少岁
中国的新冠患者比其他国家都少吗	其他国家新冠肺炎患者比我国都多吗
谢娜比张杰大几岁	张杰比谢娜小几岁
哥哥一定比妹妹年纪大吗	妹妹一定比哥哥年纪小吗
北京比上海gdp高吗	上海比北京gdp低吗
刘德华比张学友的年龄大几岁	张学友比刘德华岁数小多少
冯绍峰比赵丽颖大多少岁	赵丽颖比冯绍峰小多少岁
男生比女生平均身高更高吗	女孩子比男孩的平均身高矮吗
妈妈一定比儿子矮吗	儿子一定比妈妈高吗
